episode_id,p1_archetype,p2_archetype,outcome,duration_sec,boss_hp_remaining,total_damage_to_boss,total_damage_to_players,p1_skills_unlocked,p2_skills_unlocked,phase_reached,cumulative_reward,boss_travel_dist,idle_ratio,fwd_ratio,rot_ratio,back_ratio
13,Hybrid,Melee,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.394,186.5,0.149,0.233,0.360,0.258
14,Melee,Ranged,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.360,188.1,0.148,0.236,0.356,0.260
15,Ranged,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.248,179.7,0.184,0.227,0.343,0.247
16,CC,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.416,182.7,0.170,0.247,0.356,0.227
17,CC,Ranged,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-5.397,167.3,0.203,0.225,0.363,0.210
18,Hybrid,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.795,177.3,0.145,0.237,0.393,0.225
19,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.105,200.9,0.162,0.220,0.295,0.323
20,Ranged,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.948,197.6,0.155,0.230,0.316,0.298
21,Ranged,Hybrid,BossWin,18.7,1.000,0,0,0,0,0,-0.542,140.0,0.115,0.301,0.300,0.284
22,CC,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.907,210.2,0.146,0.250,0.294,0.310
23,Ranged,Melee,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.914,210.6,0.126,0.267,0.320,0.287
24,Melee,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.007,206.4,0.156,0.253,0.297,0.293
25,Ranged,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.086,200.3,0.123,0.230,0.340,0.307
26,Hybrid,Melee,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.998,198.8,0.149,0.220,0.314,0.317
27,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.625,219.9,0.119,0.303,0.313,0.264
28,Ranged,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.311,207.3,0.175,0.283,0.288,0.253
29,CC,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.800,207.3,0.145,0.283,0.318,0.253
30,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.964,212.4,0.139,0.290,0.311,0.260
31,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.850,209.0,0.202,0.260,0.247,0.292
32,Hybrid,Hybrid,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-4.173,203.7,0.131,0.237,0.323,0.309
33,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.118,195.5,0.158,0.227,0.319,0.297
34,CC,Melee,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.791,208.5,0.147,0.253,0.300,0.300
35,Melee,Ranged,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.125,201.9,0.145,0.239,0.317,0.300
36,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-3.038,197.4,0.148,0.210,0.315,0.327
37,Ranged,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.090,240.4,0.121,0.296,0.243,0.339
38,CC,Melee,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.947,214.2,0.174,0.266,0.260,0.300
39,CC,Ranged,BossWin,11.3,1.000,0,0,0,0,0,0.692,97.2,0.073,0.248,0.213,0.466
40,CC,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.446,237.8,0.138,0.333,0.250,0.279
41,Melee,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.708,210.8,0.131,0.250,0.307,0.312
42,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.325,243.8,0.128,0.347,0.247,0.279
43,CC,Ranged,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.160,241.8,0.125,0.290,0.232,0.353
44,Melee,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.314,248.7,0.125,0.337,0.230,0.309
45,CC,Hybrid,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.150,250.7,0.131,0.350,0.223,0.296
46,Melee,Ranged,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.094,242.6,0.101,0.313,0.263,0.323
47,Hybrid,CC,TouchTimeout_Partial,30.0,1.000,0,0,0,0,0,-2.451,242.4,0.133,0.333,0.240,0.293
48,CC,CC,TouchTimeout_None,30.0,1.000,0,0,0,0,0,-3.387,234.3,0.107,0.306,0.280,0.307
